timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,793.23,795.16,889.3,0.02
80000,800.15,668.45,889.97,0.0
120000,741.84,598.81,828.12,0.0
160000,787.35,546.33,871.54,0.0
200000,792.01,593.95,878.29,0.0
240000,848.89,520.33,931.5,0.01
280000,828.11,536.41,911.59,0.0
320000,761.46,440.38,840.24,0.0
360000,742.51,452.63,821.97,0.0
400000,717.75,470.76,798.02,0.0
440000,736.93,497.9,818.44,0.0
480000,705.74,503.28,787.6,0.0
520000,732.89,495.86,814.35,0.0
560000,776.48,547.6,860.44,0.01
600000,746.48,506.13,828.56,0.0
640000,684.47,477.38,765.08,0.0
680000,714.87,487.55,796.02,0.0
720000,775.6,477.79,856.45,0.0
760000,720.54,457.08,800.11,0.0
800000,746.3,451.07,825.57,0.0
840000,706.6,451.14,785.99,0.0
880000,764.41,503.08,846.21,0.0
920000,684.31,413.19,761.97,0.0
960000,770.76,479.83,851.25,0.01
1000000,707.9,440.17,786.68,0.0
